avg_rtt,drop_prob,pack_gen_rate,pack_len,retrans_ratio
0.007678750000000005,0.001,20,256,1.0
0.013993209999999994,0.01,20,256,1.04
0.039715513333333306,0.1,20,256,1.25
0.1421159033333334,0.3,20,256,2.216666666666667
0.0074113633333333356,0.001,20,512,1.0
0.011962556666666664,0.01,20,512,1.04
0.04023250333333334,0.1,20,512,1.25
0.1409112900000001,0.3,20,512,2.216666666666667
0.009742833333333322,0.001,20,1024,1.0
0.014506839999999993,0.01,20,1024,1.04
0.037831523333333346,0.1,20,1024,1.25
0.14218613000000005,0.3,20,1024,2.216666666666667
0.008363096666666668,0.001,60,256,1.0
0.016594403333333337,0.01,60,256,1.04
0.034817959999999995,0.1,60,256,1.25
0.14284058999999993,0.3,60,256,2.216666666666667
0.008895939999999991,0.001,60,512,1.0
0.012076466666666655,0.01,60,512,1.04
0.0367490966666667,0.1,60,512,1.25
0.14089605,0.3,60,512,2.216666666666667
0.00920855666666666,0.001,60,1024,1.0
0.015885626666666666,0.01,60,1024,1.04
0.03760216000000001,0.1,60,1024,1.25
0.14033656999999997,0.3,60,1024,2.216666666666667
0.007981623333333335,0.001,180,256,1.0
0.014599436666666667,0.01,180,256,1.04
0.037287270000000004,0.1,180,256,1.25
0.14419180333333328,0.3,180,256,2.216666666666667
0.0044431533333333315,0.001,180,512,1.0
0.01542017,0.01,180,512,1.04
0.038742413333333295,0.1,180,512,1.25
0.14212436333333336,0.3,180,512,2.216666666666667
0.00595562,0.001,180,1024,1.0
0.01314040666666667,0.01,180,1024,1.04
0.03735343,0.1,180,1024,1.25
0.1448640133333332,0.3,180,1024,2.216666666666667
0.006246489999999997,0.001,300,256,1.0
0.00898734,0.01,300,256,1.04
0.040801146666666704,0.1,300,256,1.25
0.1416101633333333,0.3,300,256,2.216666666666667
0.0038883233333333344,0.001,300,512,1.0
0.010900886666666665,0.01,300,512,1.04
0.03793315333333332,0.1,300,512,1.25
0.1413438800000001,0.3,300,512,2.216666666666667
0.005136126666666668,0.001,300,1024,1.0
0.013767866666666665,0.01,300,1024,1.04
0.03976551666666666,0.1,300,1024,1.25
0.14132252666666673,0.3,300,1024,2.216666666666667
