avg_rtt,drop_prob,pack_gen_rate,pack_len,retrans_ratio
0.012182173333333334,0.001,20,256,1.0
0.015385693333333348,0.01,20,256,1.0133333333333334
0.03725563999999998,0.1,20,256,1.0833333333333333
0.1799341600000001,0.3,20,256,1.4066666666666667
0.011053666666666661,0.001,20,512,1.0
0.017667393333333354,0.01,20,512,1.0133333333333334
0.03526910000000001,0.1,20,512,1.0833333333333333
0.18953427999999983,0.3,20,512,1.4066666666666667
0.011399766666666674,0.001,20,1024,1.0
0.01575358666666665,0.01,20,1024,1.0133333333333334
0.03812543333333339,0.1,20,1024,1.0833333333333333
0.18013372666666647,0.3,20,1024,1.4066666666666667
0.01661214,0.001,60,256,1.0
0.01324473333333333,0.01,60,256,1.0133333333333334
0.031160979999999956,0.1,60,256,1.0833333333333333
0.18311154000000007,0.3,60,256,1.4066666666666667
0.012844533333333326,0.001,60,512,1.0
0.015928066666666654,0.01,60,512,1.0133333333333334
0.035348859999999996,0.1,60,512,1.0833333333333333
0.18404210000000015,0.3,60,512,1.4066666666666667
0.013961686666666683,0.001,60,1024,1.0
0.015265613333333362,0.01,60,1024,1.0133333333333334
0.039869040000000036,0.1,60,1024,1.0833333333333333
0.18027129333333328,0.3,60,1024,1.4066666666666667
0.00815690666666665,0.001,180,256,1.0
0.01582583999999999,0.01,180,256,1.0133333333333334
0.032734613333333315,0.1,180,256,1.0833333333333333
0.18430775999999993,0.3,180,256,1.4066666666666667
0.004862133333333332,0.001,180,512,1.0
0.01266782,0.01,180,512,1.0133333333333334
0.029187553333333293,0.1,180,512,1.0833333333333333
0.1819882466666668,0.3,180,512,1.4066666666666667
0.009230079999999998,0.001,180,1024,1.0
0.012400453333333322,0.01,180,1024,1.0133333333333334
0.040769646666666534,0.1,180,1024,1.0833333333333333
0.1818560333333334,0.3,180,1024,1.4066666666666667
0.0070488266666666665,0.001,300,256,1.0
0.011480126666666663,0.01,300,256,1.0133333333333334
0.030657200000000055,0.1,300,256,1.0833333333333333
0.18069507999999998,0.3,300,256,1.4066666666666667
0.004538213333333336,0.001,300,512,1.0
0.012899553333333334,0.01,300,512,1.0133333333333334
0.032131919999999925,0.1,300,512,1.0833333333333333
0.18439557333333337,0.3,300,512,1.4066666666666667
0.004849733333333331,0.001,300,1024,1.0
0.008595526666666669,0.01,300,1024,1.0133333333333334
0.033945660000000016,0.1,300,1024,1.0833333333333333
0.18648798666666647,0.3,300,1024,1.4066666666666667
